ID,y1,x1,y2,x2
127,24.79974,121.04204,24.814834,121.015774
128,24.79974,121.04204,24.813131,121.02383
129,24.79974,121.04204,24.819239,121.018801
130,24.79974,121.04204,24.821124,121.010073
131,24.79974,121.04204,24.820976,121.013484
132,24.79974,121.04204,24.819474,121.015753
133,24.79974,121.04204,24.823461,121.010121
134,24.79974,121.04204,24.822003,121.013297
135,24.79974,121.04204,24.824827,121.010601
136,24.79974,121.04204,24.824446,121.014479
137,24.768174,121.055559,24.768252,121.055730
