ID,x,y,說明
1007,121.037703,24.805129,a
1008,121.004776,24.836744,b
1009,121.024113,24.821588,a
1010,121.025752,24.823676,b
1011,121.024113,24.821588,a
1012,121.025752,24.823676,b
1013,121.025752,24.823676,a
1014,120.999226,24.850393,b
1015,121.024632,24.824769,a
1016,121.033003,24.808507,b
1017,121.030232,24.809168,a
1018,121.02609,24.821091,b
1019,121.027197,24.820709,a
1020,121.022589,24.821032,b
1021,121.025289,24.826167,a
1022,121.025752,24.823676,b
1023,121.027197,24.820709,a
1024,121.027197,24.820709,b
1025,121.013297,24.822003,a
1026,121.022834,24.820766,b
1027,121.024719,24.823074,a
1028,121.024642,24.821722,b
1029,121.053044,24.804481,a
1030,121.025752,24.823676,b
1031,121.02609,24.821091,a
1032,121.015047,24.827782,b
1033,121.025752,24.823676,a
1034,121.018801,24.819239,b
1035,121.022585,24.811634,a
1036,121.03,24.822371,b
1037,121.015818,24.825938,a
1038,121.024632,24.824769,b
1039,121.015391,24.822245,a
1040,121.029447,24.820116,b
1041,121.027721,24.819589,a
1042,121.024719,24.823074,b
1043,121.005003,24.838736,a
1044,121.024719,24.823074,b
1045,121.025752,24.823676,a
1046,121.02609,24.821091,b
1047,121.024113,24.821588,a
1048,121.036502,24.776352,b
1049,121.026487,24.834006,a
1050,121.00786,24.840482,b
1051,121.024113,24.821588,a
1052,121.024751,24.825589,b
1053,121.027721,24.819589,a
1054,121.024172,24.821767,b
1055,121.02609,24.821091,a
1056,121.025752,24.823676,b
1057,121.024642,24.821722,a
1058,121.026905,24.820708,b
1059,121.025752,24.823676,a
1060,121.026294,24.823939,b
1061,121.024632,24.824769,a
1062,121.024751,24.825589,b
1063,121.018996,24.840974,a
1064,121.007673,24.834636,b
1065,121.024642,24.821722,a
1066,121.025752,24.823676,b
1067,121.024751,24.825589,a
1068,121.018996,24.840974,b
1069,121.019813,24.83575,a
1070,121.024632,24.824769,b
1071,121.024642,24.821722,a
1072,121.024113,24.821588,b
1073,121.02796,24.819125,a
1074,121.025752,24.823676,b
1075,121.025694,24.811668,a
1076,121.029013,24.819708,b
1077,121.030232,24.809168,a
1078,121.021774,24.809257,b
1079,121.019572,24.828919,a
1080,121.018801,24.819239,b
1081,121.005713,24.841973,a
1082,121.02609,24.821091,b
1083,121.024113,24.821588,a
1084,121.024632,24.824769,b
1085,121.025521,24.820342,a
1086,121.018593,24.821675,b
1087,121.017231,24.826395,a
1088,121.024751,24.825589,b
1089,121.015753,24.819474,a
1090,121.037154,24.80648,b
1091,121.013297,24.822003,a
1092,121.02609,24.821091,b
1093,121.03,24.822371,a
1094,121.018801,24.819239,b
1095,121.024751,24.825589,a
1096,121.027197,24.820709,b
1097,121.024088,24.824104,a
1098,121.014583,24.82508,b
1099,121.015186,24.829403,a
1100,121.024088,24.824104,b
1101,121.03251,24.814431,a
1102,121.014583,24.82508,b
1103,121.010459,24.827705,a
1104,121.0147,24.82101,b
1105,121.005713,24.841973,a
1106,121.011836,24.835235,b
1107,121.016593,24.83019,a
1108,121.018801,24.819239,b
1109,121.025752,24.823676,a
1110,121.02395,24.820331,b
1111,121.024751,24.825589,a
1112,121.025752,24.823676,b
1113,121.02672,24.816264,a
1114,121.024719,24.823074,b
1115,121.025752,24.823676,a
1116,121.01528,24.818135,b
1117,121.025752,24.823676,a
1118,121.027471,24.822918,b
1119,121.029904,24.819102,a
1120,121.019813,24.83575,b
1121,121.021774,24.809257,a
1122,121.096143,24.718418,b
1123,121.024172,24.821767,a
1124,121.024113,24.821588,b
1125,121.029904,24.819102,a
1126,121.003533,24.853504,b
1127,120.991687,24.857011,a
1128,120.991687,24.857011,b
1129,121.018996,24.840974,a
1130,121.015381,24.82608,b
1131,121.001905,24.855003,a
1132,120.991687,24.857011,b
1133,121.025752,24.823676,a
1134,120.982921,24.858507,b
1135,121.001905,24.855003,a
1136,120.961143,24.861973,b
1137,120.961143,24.861973,a
1138,120.955196,24.84209,b
1139,121.027828,24.813884,a
1140,121.018801,24.819239,b
1141,121.018801,24.819239,a
1142,121.016593,24.83019,b
1143,121.018801,24.819239,a
1144,121.018801,24.819239,b
1145,121.015913,24.843659,a
1146,121.047446,24.807211,b
1147,121.025752,24.823676,a
1148,121.025752,24.823676,b
1149,121.022589,24.821032,a
1150,120.996848,24.82571,b
1151,121.017533,24.833918,a
1152,121.024166,24.813251,b
1153,121.028511,24.816108,a
1154,121.016755,24.830447,b
1155,121.037223,24.806496,a
1156,121.028956,24.819032,b
1157,121.015381,24.82608,a
1158,121.030232,24.809168,b
1159,121.002592,24.840047,a
1160,121.018801,24.819239,b
1161,121.019813,24.83575,a
1162,121.059074,24.765733,b
1163,121.017533,24.833918,a
1164,121.026419,24.816395,b
1165,121.024113,24.821588,a
1166,121.086692,24.727005,b
1167,121.014583,24.82508,a
1168,121.017533,24.833918,b
1169,121.021774,24.809257,a
1170,121.026292,24.816519,b
1171,121.030024,24.817404,a
1172,121.01577,24.836998,b
1173,121.005713,24.841973,a
1174,121.018996,24.840974,b
1175,121.018801,24.819239,a
1176,121.007673,24.834636,b
1177,121.013297,24.822003,a
1178,121.0304,24.817439,b
1179,121.047446,24.807211,a
1180,121.027828,24.813884,b
1181,121.027828,24.813884,a
1182,121.026943,24.811667,b
1183,121.027828,24.813884,a
1184,121.013297,24.822003,b
1185,121.04004,24.805702,a
1186,121.026292,24.816519,b
1187,121.089518,24.732615,a
1188,121.018801,24.819239,b
1189,121.03251,24.814431,a
1190,121.024166,24.813251,b
1191,121.019813,24.83575,a
1192,121.03251,24.814431,b
1193,121.030024,24.817404,a
1194,121.015381,24.82608,b
1195,121.015381,24.82608,a
1196,121.002088,24.827722,b
1197,121.018801,24.819239,a
1198,120.999391,24.837008,b
1199,121.022673,24.821273,a
1200,121.030024,24.817404,b
1201,121.030045,24.815467,a
1202,121.031634,24.815433,b
1203,121.026943,24.811667,a
1204,121.026292,24.816519,b
1205,121.026093,24.816839,a
1206,121.030232,24.809168,b
1207,121.027828,24.813884,a
1208,121.031634,24.815433,b
1209,121.015818,24.825938,a
1210,121.016217,24.829576,b
1211,121.037106,24.81068,a
1212,121.007739,24.837662,b
1213,121.030045,24.815467,a
1214,121.018801,24.819239,b
1215,121.0304,24.817439,a
1216,121.0304,24.817439,b
1217,121.04004,24.805702,a
1218,121.031634,24.815433,b
1219,121.028956,24.819032,a
1220,121.029447,24.820116,b
1221,121.013297,24.822003,a
1222,121.033003,24.808507,b
1223,121.022589,24.821032,a
1224,121.01558,24.834969,b
1225,121.015381,24.82608,a
1226,121.027828,24.813884,b
1227,121.0208,24.831931,a
1228,121.027828,24.813884,b
1229,121.018801,24.819239,a
1230,121.027828,24.813884,b
1231,121.018801,24.819239,a
1232,121.027828,24.813884,b
1233,121.018801,24.819239,a
1234,121.027828,24.813884,b
1235,121.02841,24.817371,a
1236,121.022673,24.821273,b
1237,121.02398,24.812601,a
1238,121.027828,24.813884,b
1239,121.02398,24.812601,a
1240,121.031634,24.815433,b
1241,121.022673,24.821273,a
1242,121.01577,24.836998,b
1243,120.999391,24.837008,a
1244,121.027828,24.813884,b
1245,121.027828,24.813884,a
1246,121.026487,24.834006,b
1247,121.026487,24.834006,a
1248,121.015391,24.822245,b
1249,121.031634,24.815433,a
1250,121.016593,24.83019,b
1251,121.026943,24.811667,a
1252,121.02841,24.817371,b
1253,121.047668,24.774329,a
